architecture,init_method,selection,crossover,mutation,accuracy,precision,recall,f1_score,f1_std
"(10, 5)",uniform,tournament_selection,simulated_binary_crossover,gaussian_mutation,0.9051282051282052,0.9143870382336733,0.9632183908045976,0.9376397725639196,0.024028625736721605
"(10, 5)",uniform,tournament_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8923076923076925,0.9020878065860779,0.9609195402298849,0.9296330194412984,0.024556762023778277
"(10, 5)",uniform,roulette_wheel_selection,arithmetic_crossover,gaussian_mutation,0.8555555555555556,0.8647837040016418,0.9586206896551723,0.9076602361047071,0.035397414034059396
"(10, 5)",uniform,roulette_wheel_selection,arithmetic_crossover,uniform_continuous_mutation,0.870940170940171,0.8691371720259209,0.9747126436781609,0.9182613521534658,0.018131561540128367
"(10, 5)",uniform,roulette_wheel_selection,one_point_crossover,gaussian_mutation,0.8752136752136752,0.887731605720793,0.9540229885057471,0.919089728727697,0.03079646501435607
"(10, 5)",uniform,roulette_wheel_selection,one_point_crossover,uniform_continuous_mutation,0.8572649572649574,0.8690523046950941,0.9528735632183908,0.9085141269123799,0.03415330319155668
"(10, 5)",uniform,roulette_wheel_selection,simulated_binary_crossover,gaussian_mutation,0.870940170940171,0.8714117987477684,0.9724137931034481,0.9183800234875181,0.028795730220041334
"(10, 5)",uniform,roulette_wheel_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8692307692307694,0.8804606652155944,0.9551724137931035,0.9153956506656223,0.029513203757365315
"(10, 5)",normal,tournament_selection,arithmetic_crossover,gaussian_mutation,0.8529914529914531,0.86820766924686,0.9528735632183908,0.9067580469493736,0.03825786447336426
"(10, 5)",normal,tournament_selection,arithmetic_crossover,uniform_continuous_mutation,0.8957264957264959,0.8960926104101936,0.9747126436781609,0.9329279232128946,0.02367385949288368
"(10, 5)",normal,tournament_selection,one_point_crossover,gaussian_mutation,0.8726495726495728,0.886313949753728,0.9540229885057471,0.9179654853093674,0.039278458156275294
"(10, 5)",normal,tournament_selection,one_point_crossover,uniform_continuous_mutation,0.894871794871795,0.9024445876242944,0.9643678160919539,0.931500228479469,0.020318911347172237
"(10, 5)",normal,tournament_selection,simulated_binary_crossover,gaussian_mutation,0.8846153846153848,0.9052914905049221,0.9448275862068966,0.9238996687170822,0.034319410518894755
"(10, 5)",normal,tournament_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8803418803418805,0.9008035113102699,0.9448275862068964,0.921219289411344,0.02866525977313421
"(10, 5)",normal,roulette_wheel_selection,arithmetic_crossover,gaussian_mutation,0.8222222222222224,0.8411035460246593,0.9402298850574712,0.8867699404067927,0.03832048930151526
"(10, 5)",normal,roulette_wheel_selection,arithmetic_crossover,uniform_continuous_mutation,0.8555555555555556,0.8548612882424552,0.9724137931034483,0.9093380608766435,0.02735582369967863
"(10, 5)",normal,roulette_wheel_selection,one_point_crossover,gaussian_mutation,0.8641025641025641,0.8821106529206215,0.9459770114942528,0.9115770563247382,0.038717886002023104
"(10, 5)",normal,roulette_wheel_selection,one_point_crossover,uniform_continuous_mutation,0.8632478632478634,0.8790809448135534,0.9482758620689654,0.9114092496338125,0.03438435445578427
"(10, 5)",normal,roulette_wheel_selection,simulated_binary_crossover,gaussian_mutation,0.8623931623931625,0.8705637586455733,0.9597701149425287,0.911964887759429,0.036434581448015084
"(10, 5)",normal,roulette_wheel_selection,simulated_binary_crossover,uniform_continuous_mutation,0.8547008547008548,0.8804536326942622,0.9321839080459768,0.9047873552684064,0.03617353111925279
