algorithm,architecture,pop_size,generations,init_method,crossover,mutation,best_train_fitness,initial_best_fitness,final_best_fitness,test_weighted_f1,test_macro_f1,test_balanced_accuracy,test_confusion_matrix,solution_dimensions,runtime_seconds
GA,"(10,)",50,100,normal,arithmetic_crossover,gaussian_mutation,0.9652096342551294,0.48195143415264835,0.9652096342551294,0.9501332001332,0.9366883116883117,0.9655172413793103,"[[10, 0], [2, 27]]",241,7.395412699901499
GA,"(10,)",50,100,uniform,arithmetic_crossover,gaussian_mutation,0.7792914423993321,0.44241111014596546,0.7792914423993321,0.8532763532763531,0.8194444444444444,0.8637931034482759,"[[9, 1], [5, 24]]",241,9.341362299979664
GA,"(10,)",50,100,uniform,simulated_binary_crossover,gaussian_mutation,0.7583274574269688,0.4730327895341921,0.7583274574269688,0.7583826429980276,0.7115384615384616,0.7620689655172415,"[[8, 2], [8, 21]]",241,10.342343700001948
GA,"(10,)",50,100,normal,simulated_binary_crossover,gaussian_mutation,0.7328031084310147,0.4678619867582493,0.7328031084310147,0.9217045220613463,0.8956289027653881,0.8827586206896552,"[[8, 2], [1, 28]]",241,8.23301480000373
GA,"(10,)",50,100,uniform,simulated_binary_crossover,uniform_continuous_mutation,0.6960647819750704,0.5000743328629692,0.6960647819750704,0.783308195072901,0.7450980392156863,0.8120689655172414,"[[9, 1], [8, 21]]",241,8.171705699991435
GA,"(10,)",50,100,normal,arithmetic_crossover,uniform_continuous_mutation,0.6950114644180444,0.45545705788660973,0.6950114644180444,0.8934472934472933,0.8555555555555556,0.8327586206896551,"[[7, 3], [1, 28]]",241,7.551284500048496
GA,"(10,)",50,100,normal,simulated_binary_crossover,uniform_continuous_mutation,0.6894387934657967,0.4687271264739042,0.6894387934657967,0.7814223512336721,0.7350943396226415,0.7793103448275862,"[[8, 2], [7, 22]]",241,9.899513700045645
GA,"(10,)",50,100,uniform,arithmetic_crossover,uniform_continuous_mutation,0.6810402583899337,0.42466337615910255,0.6810402583899337,0.8067061143984221,0.7692307692307692,0.8293103448275863,"[[9, 1], [7, 22]]",241,9.252301300060935
